entry_time,exit_time,type,entry_price,exit_price,sl,tp,lot_size,pips,profit,balance,reason,bars_held,conditions,has_order_block
2025-03-04 20:20:00,2025-03-05 09:00:00,BUY,1.06224,1.0711809600000002,1.05925968,1.0711809600000002,0.39,894.0960000000108,348.69744000000424,11904.310799999947,Take Profit,152,2,True
2025-03-05 09:05:00,2025-03-06 00:30:00,BUY,1.0699,1.0800327699999999,1.0665224100000001,1.0800327699999999,0.35000000000000003,1013.276999999979,354.64694999999267,12258.95774999994,Take Profit,185,2,True
2025-03-06 00:30:00,2025-03-06 18:40:00,BUY,1.07985,1.07753139,1.07753139,1.0868058299999996,0.53,-231.86099999998876,-122.88632999999405,12136.071419999946,Stop Loss,218,2,True
2025-03-06 18:45:00,2025-03-06 19:40:00,SELL,1.07776,1.0800089299999998,1.0800089299999998,1.071013210000001,0.54,-224.89299999997047,-121.44221999998406,12014.629199999961,Stop Loss,11,2,True
2025-03-06 19:40:00,2025-03-11 13:20:00,BUY,1.08017,1.09204187,1.07621271,1.09204187,0.3,1187.1870000000006,356.15610000000015,12370.785299999961,Take Profit,799,2,True
2025-03-11 13:20:00,2025-03-12 12:35:00,BUY,1.09223,1.08869022,1.08869022,1.1028493400000003,0.35000000000000003,-353.9780000000103,-123.89230000000362,12246.892999999958,Stop Loss,279,2,True
2025-03-12 12:35:00,2025-03-12 16:15:00,SELL,1.08927,1.09258149,1.09258149,1.07933553,0.37,-331.1489999999972,-122.52512999999897,12124.36786999996,Stop Loss,44,4,True
2025-03-12 16:20:00,2025-03-13 06:15:00,BUY,1.09167,1.0877112,1.0877112,1.1035463999999997,0.31,-395.8799999999929,-122.72279999999779,12001.645069999962,Stop Loss,167,2,True
2025-03-13 06:15:00,2025-03-13 12:45:00,SELL,1.08805,1.0834044699999996,1.08959851,1.0834044699999996,0.78,464.55300000003416,362.35134000002665,12363.996409999989,Take Profit,78,2,True
2025-03-13 12:50:00,2025-03-13 13:10:00,BUY,1.08401,1.0822571428571428,1.0822571428571428,1.0892685714285713,0.71,-175.28571428571115,-124.45285714285491,12239.543552857134,Stop Loss,4,2,False
2025-03-13 13:20:00,2025-03-13 16:40:00,BUY,1.08302,1.0875200000000003,1.08152,1.0875200000000003,0.8200000000000001,450.000000000017,369.000000000014,12608.543552857149,Take Profit,40,2,False
2025-03-13 16:45:00,2025-03-14 10:35:00,SELL,1.08651,1.0882171299999999,1.0882171299999999,1.0813886100000007,0.74,-170.7129999999779,-126.32761999998365,12482.215932857165,Stop Loss,214,3,True
2025-03-14 10:55:00,2025-03-14 13:45:00,BUY,1.08949,1.0879664285714286,1.0879664285714286,1.0940607142857146,0.8200000000000001,-152.35714285715127,-124.93285714286405,12357.283075714302,Stop Loss,34,2,False
2025-03-14 13:45:00,2025-03-18 08:10:00,BUY,1.08796,1.0946404600000006,1.0857331799999999,1.0946404600000006,0.55,668.0460000000554,367.4253000000305,12724.708375714332,Take Profit,508,2,True
2025-03-18 08:10:00,2025-03-18 12:30:00,BUY,1.09465,1.0911977099999999,1.0911977099999999,1.10500687,0.37,-345.22900000000243,-127.7347300000009,12596.973645714332,Stop Loss,52,2,True
2025-03-18 12:40:00,2025-03-18 16:35:00,BUY,1.09057,1.0936203571428573,1.0895532142857143,1.0936203571428573,1.24,305.0357142857285,378.2442857143033,12975.217931428635,Take Profit,47,2,False
2025-03-18 16:35:00,2025-03-19 07:05:00,BUY,1.09369,1.09168722,1.09168722,1.09969834,0.65,-200.27799999999817,-130.1806999999988,12845.037231428636,Stop Loss,174,2,True
2025-03-19 07:05:00,2025-03-20 13:25:00,SELL,1.091,1.0823516300000002,1.0938827899999999,1.0823516300000002,0.45,864.8369999999738,389.17664999998823,13234.213881428625,Take Profit,364,2,True
2025-03-20 13:25:00,2025-03-20 19:20:00,SELL,1.08223,1.08525417,1.08525417,1.07315749,0.44,-302.41699999999923,-133.06347999999966,13101.150401428626,Stop Loss,71,2,True
2025-03-20 19:20:00,2025-03-21 05:20:00,BUY,1.08524,1.0825563599999999,1.0825563599999999,1.0932909200000003,0.49,-268.3640000000098,-131.4983600000048,12969.65204142862,Stop Loss,120,2,True
2025-03-21 05:20:00,2025-03-21 11:50:00,SELL,1.08256,1.08471363,1.08471363,1.07609911,0.6,-215.36300000000173,-129.21780000000103,12840.43424142862,Stop Loss,78,2,True
2025-03-21 11:50:00,2025-03-21 15:50:00,BUY,1.08464,1.08136755,1.08136755,1.0944573500000003,0.39,-327.2450000000093,-127.62555000000364,12712.808691428616,Stop Loss,48,2,True
2025-03-21 15:55:00,2025-03-23 23:45:00,BUY,1.08059,1.0831582142857143,1.0797339285714285,1.0831582142857143,1.49,256.82142857144095,382.663928571447,13095.472620000062,Take Profit,93,2,False
2025-03-24 02:20:00,2025-03-24 07:10:00,SELL,1.08275,1.08457349,1.08457349,1.0772795300000007,0.72,-182.34899999998166,-131.29127999998678,12964.181340000076,Stop Loss,58,2,True
2025-03-24 07:10:00,2025-03-24 13:45:00,BUY,1.08463,1.08133758,1.08133758,1.0945072599999999,0.39,-329.2419999999962,-128.40437999999853,12835.776960000077,Stop Loss,79,2,True
2025-03-24 14:05:00,2025-03-24 16:40:00,BUY,1.08002,1.0789314285714287,1.0789314285714287,1.083285714285714,1.18,-108.85714285713276,-128.45142857141664,12707.325531428662,Stop Loss,31,2,False
2025-03-24 16:45:00,2025-03-25 08:05:00,BUY,1.079,1.0780582142857142,1.0780582142857142,1.081825357142857,1.35,-94.17857142857143,-127.14107142857144,12580.18446000009,Stop Loss,184,2,False
2025-03-25 08:05:00,2025-03-25 10:05:00,SELL,1.07826,1.0804093299999997,1.0804093299999997,1.0718120100000008,0.59,-214.9329999999727,-126.8104699999839,12453.373990000106,Stop Loss,24,2,True
2025-03-25 10:05:00,2025-03-26 13:30:00,BUY,1.0803,1.07673219,1.07673219,1.0910034300000002,0.35000000000000003,-356.781000000006,-124.8733500000021,12328.500640000104,Stop Loss,329,2,True
2025-03-26 13:30:00,2025-03-27 15:30:00,SELL,1.07695,1.08009902,1.08009902,1.0675029400000002,0.39,-314.90199999999464,-122.81177999999791,12205.688860000106,Stop Loss,312,2,True
2025-03-27 15:50:00,2025-03-27 16:00:00,BUY,1.08066,1.0795285714285714,1.0795285714285714,1.0840542857142856,1.08,-113.14285714285609,-122.19428571428458,12083.494574285822,Stop Loss,2,2,False
2025-03-27 16:00:00,2025-03-28 10:05:00,BUY,1.07988,1.0767222,1.0767222,1.0893533999999996,0.38,-315.7799999999877,-119.99639999999532,11963.498174285827,Stop Loss,217,3,True
2025-03-28 10:05:00,2025-03-28 13:20:00,SELL,1.0771600000000001,1.0806896099999999,1.0806896099999999,1.066571170000001,0.34,-352.96099999997386,-120.00673999999113,11843.491434285836,Stop Loss,39,2,True
2025-03-28 13:25:00,2025-04-02 20:10:00,BUY,1.08038,1.0885062499999993,1.07767125,1.0885062499999993,0.44,812.6249999999445,357.55499999997556,12201.04643428581,Take Profit,944,3,True
2025-04-02 20:15:00,2025-04-02 20:25:00,BUY,1.08884,1.0871642857142858,1.0871642857142858,1.0938671428571427,0.73,-167.57142857142247,-122.3271428571384,12078.719291428672,Stop Loss,2,2,False
2025-04-02 20:25:00,2025-04-02 20:30:00,BUY,1.08531,1.0832057099999999,1.0832057099999999,1.0916228700000004,0.5700000000000001,-210.42900000001194,-119.94453000000682,11958.774761428665,Stop Loss,1,2,True
2025-04-02 20:30:00,2025-04-02 22:10:00,BUY,1.08394,1.0807310714285714,1.0807310714285714,1.0935667857142854,0.37,-320.89285714285154,-118.73035714285507,11840.04440428581,Stop Loss,13,3,False
2025-04-02 22:15:00,2025-04-02 23:25:00,BUY,1.0812599999999999,1.0878332142857146,1.0790689285714283,1.0878332142857146,0.54,657.3214285714668,354.95357142859206,12194.997975714403,Take Profit,14,2,False
2025-04-02 23:25:00,2025-04-03 05:25:00,SELL,1.08872,1.09352243,1.09352243,1.0743127099999998,0.25,-480.2430000000024,-120.0607500000006,12074.937225714402,Stop Loss,72,2,True
2025-04-03 06:05:00,2025-04-03 06:30:00,SELL,1.09465,1.0958082142857142,1.0958082142857142,1.091175357142857,1.04,-115.82142857142762,-120.45428571428472,11954.482940000118,Stop Loss,5,2,False
2025-04-03 07:05:00,2025-04-03 08:25:00,SELL,1.09775,1.0994942857142858,1.0994942857142858,1.0925171428571427,0.6900000000000001,-174.42857142857537,-120.35571428571701,11834.127225714401,Stop Loss,16,2,False
2025-04-03 08:50:00,2025-04-03 10:10:00,BUY,1.10153,1.1129864299999994,1.09771119,1.1129864299999994,0.31,1145.6429999999516,355.149329999985,12189.276555714387,Take Profit,16,2,True
2025-04-03 10:15:00,2025-04-03 17:40:00,SELL,1.11086,1.1022842857142858,1.1137185714285713,1.1022842857142858,0.43,857.5714285714131,368.7557142857076,12558.032270000094,Take Profit,89,2,False
2025-04-03 17:45:00,2025-04-03 20:45:00,SELL,1.1019700000000001,1.1046535499999999,1.1046535499999999,1.0939193500000008,0.47000000000000003,-268.3549999999757,-126.12684999998858,12431.905420000106,Stop Loss,36,2,True
2025-04-03 22:40:00,2025-04-03 23:20:00,BUY,1.1063,1.10452437,1.10452437,1.1116268900000001,0.7000000000000001,-177.56300000000277,-124.29410000000195,12307.611320000104,Stop Loss,8,2,True
2025-04-03 23:25:00,2025-04-04 03:30:00,SELL,1.10442,1.1079668599999999,1.1079668599999999,1.0937794200000002,0.35000000000000003,-354.68599999999293,-124.14009999999753,12183.471220000107,Stop Loss,49,2,True
2025-04-04 05:30:00,2025-04-04 06:40:00,SELL,1.10883,1.1060207142857141,1.1097664285714286,1.1060207142857141,1.3,280.9285714285847,365.20714285716014,12548.678362857267,Take Profit,14,2,False
2025-04-04 06:40:00,2025-04-04 07:30:00,BUY,1.10633,1.1045843100000001,1.1045843100000001,1.1115670699999998,0.72,-174.56899999999106,-125.68967999999356,12422.988682857273,Stop Loss,10,2,True
2025-04-04 07:50:00,2025-04-04 07:55:00,BUY,1.10183,1.1003310714285717,1.1003310714285717,1.1063267857142853,0.8300000000000001,-149.8928571428415,-124.41107142855846,12298.577611428715,Stop Loss,1,2,False
2025-04-04 08:05:00,2025-04-04 09:00:00,BUY,1.10017,1.0981814285714286,1.0981814285714286,1.1061357142857144,0.62,-198.85714285714505,-123.29142857142993,12175.286182857284,Stop Loss,11,2,False
2025-04-04 09:15:00,2025-04-04 10:05:00,BUY,1.09819,1.0966385714285714,1.0966385714285714,1.102844285714286,0.78,-155.14285714286478,-121.01142857143454,12054.274754285849,Stop Loss,10,2,False
2025-04-04 10:05:00,2025-04-04 10:15:00,SELL,1.09847,1.1003092099999998,1.1003092099999998,1.0929523700000008,0.66,-183.92099999997578,-121.38785999998402,11932.886894285864,Stop Loss,2,2,True
2025-04-04 10:15:00,2025-04-04 10:20:00,SELL,1.10025,1.10171061,1.10171061,1.0958681699999997,0.8200000000000001,-146.06100000000842,-119.77002000000691,11813.116874285857,Stop Loss,1,2,True
2025-04-04 10:20:00,2025-04-04 11:35:00,SELL,1.10326,1.10669559,1.10669559,1.0929532299999998,0.34,-343.55900000000435,-116.81006000000149,11696.306814285856,Stop Loss,15,3,True
2025-04-04 11:45:00,2025-04-04 12:25:00,SELL,1.1065,1.108617142857143,1.108617142857143,1.1001485714285713,0.55,-211.71428571429283,-116.44285714286106,11579.863957142994,Stop Loss,8,2,False
2025-04-04 12:25:00,2025-04-04 12:40:00,BUY,1.1081,1.1031657300000002,1.1031657300000002,1.1229028099999998,0.23,-493.4269999999907,-113.48820999999786,11466.375747142996,Stop Loss,3,2,True
2025-04-04 12:40:00,2025-04-04 12:50:00,BUY,1.10286,1.10116773,1.10116773,1.1079368099999998,0.68,-169.226999999994,-115.07435999999593,11351.301387143001,Stop Loss,2,2,True
2025-04-04 12:50:00,2025-04-04 14:30:00,BUY,1.10144,1.0985364285714285,1.0985364285714285,1.1101507142857143,0.39,-290.35714285714494,-113.23928571428652,11238.062101428715,Stop Loss,20,2,False
2025-04-04 14:30:00,2025-04-07 06:45:00,SELL,1.09839,1.10218108,1.10218108,1.0870167599999998,0.3,-379.10800000000575,-113.73240000000172,11124.329701428713,Stop Loss,194,2,True
2025-04-07 06:50:00,2025-04-07 07:05:00,SELL,1.10008,1.10266156,1.10266156,1.0923353199999997,0.43,-258.1560000000094,-111.00708000000404,11013.322621428708,Stop Loss,3,3,True
2025-04-07 07:15:00,2025-04-07 09:25:00,SELL,1.10273,1.0964396428571428,1.1048267857142857,1.0964396428571428,0.53,629.0357142857195,333.38892857143134,11346.71155000014,Take Profit,26,2,False
2025-04-07 09:25:00,2025-04-09 00:45:00,SELL,1.09595,1.10058949,1.10058949,1.08203153,0.24,-463.9489999999968,-111.34775999999923,11235.363790000141,Stop Loss,472,2,True
2025-04-09 00:50:00,2025-04-09 01:20:00,BUY,1.10046,1.1036292857142855,1.0994035714285715,1.1036292857142855,1.06,316.9285714285541,335.9442857142674,11571.308075714409,Take Profit,6,2,False
2025-04-09 01:25:00,2025-04-09 08:00:00,BUY,1.10376,1.10041848,1.10041848,1.11378456,0.35000000000000003,-334.1519999999986,-116.95319999999953,11454.354875714409,Stop Loss,79,2,True
